epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.314,1.57706,2.05563,1.19293,0.42096,0.31382,0.23987,0.13632,1.72006,2.19934,1.35103,0.0668617,3.31715e-05,3.31715e-05
2,286.906,1.43513,1.35846,1.13818,0.46261,0.58156,0.42722,0.25958,1.42851,1.20317,1.16325,0.0335605,6.53078e-05,6.53078e-05
3,422.785,1.37474,1.22012,1.10864,0.49923,0.6052,0.5508,0.34447,1.3669,1.13503,1.13862,0.000258056,9.6244e-05,9.6244e-05
4,562.312,1.35036,1.17061,1.10315,0.54465,0.65066,0.63223,0.40036,1.33587,1.0448,1.12114,9.46e-05,9.46e-05,9.46e-05
5,698.999,1.32298,1.10882,1.09325,0.57594,0.69544,0.66323,0.42647,1.33487,1.02558,1.12104,9.28e-05,9.28e-05,9.28e-05
6,837.337,1.30839,1.07652,1.0856,0.63754,0.68876,0.68444,0.43501,1.35641,0.96771,1.12805,9.1e-05,9.1e-05,9.1e-05
7,973.2,1.29877,1.05389,1.09011,0.65109,0.70416,0.69749,0.43866,1.36866,0.94584,1.13795,8.92e-05,8.92e-05,8.92e-05
8,1108.49,1.28177,1.02729,1.07912,0.68387,0.7088,0.72499,0.47499,1.2876,0.92363,1.10803,8.74e-05,8.74e-05,8.74e-05
9,1245.08,1.28007,1.00457,1.07722,0.67188,0.70712,0.72277,0.4713,1.30042,0.91059,1.10946,8.56e-05,8.56e-05,8.56e-05
10,1382.25,1.26665,0.99147,1.07762,0.67656,0.75196,0.74832,0.4897,1.28859,0.8879,1.11493,8.38e-05,8.38e-05,8.38e-05
11,1520.42,1.26063,0.97226,1.07168,0.68214,0.72578,0.73649,0.48906,1.27521,0.88132,1.09766,8.2e-05,8.2e-05,8.2e-05
12,1656.77,1.26204,0.9564,1.07344,0.67614,0.72015,0.7339,0.48368,1.28137,0.8832,1.09856,8.02e-05,8.02e-05,8.02e-05
13,1791.6,1.24847,0.95509,1.06876,0.66071,0.75132,0.75186,0.49848,1.26931,0.87694,1.09826,7.84e-05,7.84e-05,7.84e-05
